Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,$6.28,-0.06,-0.946%,13463462862.00,,2018,2141566,Technology,Semiconductors
AVTR,Avantor Inc. Common Stock,$20.685,-0.195,-0.934%,13945918304.00,,2019,318070,Industrials,Industrial Specialties
AXP,American Express Company Common Stock,$152.70,0.20,0.131%,114102432679.00,United States,,231184,Finance,Finance: Consumer Services
BA,Boeing Company (The) Common Stock,$173.22,-0.67,-0.385%,103236208518.00,United States,,635830,Industrials,Aerospace
BAC,Bank of America Corporation Common Stock,$37.415,0.225,0.605%,300159302222.00,United States,,4010755,Finance,Major Banks
BALL,Ball Corporation Common Stock,$54.67,-0.42,-0.762%,17162014601.00,United States,,110043,Industrials,Containers/Packaging
BAP,Credicorp Ltd. Common Stock,$149.52,-1.62,-1.072%,11891774160.00,Peru,,12811,Finance,Major Banks
BAX,Baxter International Inc. Common Stock,$55.815,0.815,1.482%,28137500164.00,United States,,335989,Health Care,Medical/Dental Instruments
BBD,Banco Bradesco Sa American Depositary Shares,$2.88,-0.02,-0.69%,30696445521.00,Brazil,,4474695,Finance,Commercial Banks
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$5.585,-0.025,-0.446%,33678201010.00,Spain,,139799,Finance,Commercial Banks
BCS,Barclays PLC Common Stock,$7.5646,-0.0354,-0.466%,29984394734.00,United Kingdom,,600916,Finance,Commercial Banks
BDX,Becton Dickinson and Company Common Stock,$234.49,8.90,3.945%,66875401813.00,United States,,537840,Health Care,Medical/Dental Instruments
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),$14.555,-0.255,-1.722%,18403442924.00,China,2020,1310403,Finance,Real Estate
BEN,Franklin Resources Inc. Common Stock,$26.07,-0.08,-0.306%,13023492155.00,United States,,136050,Finance,Investment Managers
BILL,Bill.com Holdings Inc. Common Stock,$108.55,-4.76,-4.201%,11470656413.00,,2019,225824,Technology,Computer Software: Prepackaged Software
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,$393.89,-4.23,-1.062%,11747426566.00,United States,1980,20865,Industrials,Biotechnology: Laboratory Analytical Instruments
BK,The Bank of New York Mellon Corporation Common Stock,$44.51,-0.05,-0.112%,35976540530.00,United States,,299360,Finance,Investment Managers
BLK,BlackRock Inc. Common Stock,$726.38,5.77,0.801%,109099063221.00,United States,1999,82497,Finance,Investment Bankers/Brokers/Service
BMY,Bristol-Myers Squibb Company Common Stock,$78.245,0.795,1.026%,166361416351.00,United States,,748299,Health Care,Biotechnology: Pharmaceutical Preparations
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$51.43,-0.12,-0.233%,61269964428.00,Canada,,159447,Finance,Major Banks
BP,BP p.l.c. Common Stock,$32.61,-1.43,-4.201%,99191907409.00,United Kingdom,,2381382,Energy,Integrated oil Companies
BRO,Brown & Brown Inc. Common Stock,$57.26,0.32,0.562%,16217312734.00,United States,,53148,Finance,Specialty Insurers
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,$5.185,0.035,0.68%,38647177101.00,Brazil,2009,80209,Finance,Commercial Banks
BSX,Boston Scientific Corporation Common Stock,$42.95,-0.01,-0.023%,61517769562.00,United States,,375755,Health Care,Medical/Dental Instruments
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,$39.74,0.19,0.48%,89011580662.00,United Kingdom,1998,410533,Health Care, Medicinal Chemicals and Botanical Products 
BX,Blackstone Inc. Common Stock,$90.72,-0.96,-1.047%,66619155154.00,United States,2007,393717,Finance,Investment Managers
C,Citigroup Inc. Common Stock,$48.635,-0.025,-0.051%,94198839041.00,United States,,1429788,Finance,Major Banks
CAH,Cardinal Health Inc. Common Stock,$78.33,0.65,0.837%,20532960371.00,United States,,694932,Health Care,Other Pharmaceuticals
CAT,Caterpillar Inc. Common Stock,$229.25,-2.18,-0.942%,119303844634.00,United States,,380907,Industrials,Construction/Ag Equipment/Trucks
CB,Chubb Limited  Common Stock,$211.3515,1.2115,0.577%,87721497985.00,Switzerland,,83421,Finance,Property-Casualty Insurers
CBRE,CBRE Group Inc Common Stock Class A,$75.69,0.39,0.518%,23914144841.00,United States,,76841,Finance,Real Estate
CE,Celanese Corporation Celanese Corporation Common Stock,$100.08,-1.15,-1.136%,10851481346.00,United States,2005,85951,Industrials,Major Chemicals
CF,CF Industries Holdings Inc. Common Stock,$99.81,-1.53,-1.51%,19581670302.00,United States,2005,239629,Industrials,Agricultural Chemicals
CFG,Citizens Financial Group Inc. Common Stock,$40.59,0.18,0.445%,19990208310.00,United States,2014,304291,Finance,Major Banks
CHT,Chunghwa Telecom Co. Ltd.,$34.68,-0.03,-0.086%,26902826196.00,Taiwan,,12779,Telecommunications,Telecommunications Equipment
CI,Cigna Corporation Common Stock,$320.235,1.025,0.321%,97908329946.00,United States,,174803,Health Care,Medical Specialities
CLR,Continental Resources Inc. Common Stock,$74.23,0.03,0.04%,26946954409.00,United States,2007,498341,Energy,Oil & Gas Production
CMI,Cummins Inc. Common Stock,$250.50,0.19,0.076%,35326126731.00,United States,,76687,Industrials,Construction/Ag Equipment/Trucks
CNA,CNA Financial Corporation Common Stock,$42.205,0.185,0.44%,11433055018.00,United States,,3572,Finance,Property-Casualty Insurers
CNC,Centene Corporation Common Stock,$82.385,-0.295,-0.357%,46651304808.00,United States,,220691,Health Care,Medical Specialities
CNHI,CNH Industrial N.V. Common Shares,$15.125,-0.255,-1.658%,20335258079.00,,2013,272161,Industrials,Construction/Ag Equipment/Trucks
COF,Capital One Financial Corporation Common Stock,$99.29,0.33,0.333%,37898851214.00,United States,1994,155839,Finance,Major Banks
COO,The Cooper Companies Inc. Common Stock,$305.91,-1.49,-0.485%,15095430271.00,United States,,13640,Health Care,Ophthalmic Goods
COP,ConocoPhillips Common Stock,$123.13,-5.46,-4.246%,153428730357.00,United States,,916761,Energy,Integrated oil Companies
CRBG,Corebridge Financial Inc. Common Stock,$21.82,-0.11,-0.502%,14073900000.00,,2022,24067,Finance,Finance Companies
CRH,CRH PLC American Depositary Shares,$39.535,-0.125,-0.315%,29575893523.00,Ireland,,82892,Industrials,Building Materials
CRM,Salesforce Inc. Common Stock,$145.2906,-2.7494,-1.857%,145290600000.00,United States,2004,949555,Technology,Computer Software: Prepackaged Software
CS,Credit Suisse Group American Depositary Shares,$4.205,-0.045,-1.059%,11003223500.00,Switzerland,,1713640,Finance,Investment Bankers/Brokers/Service
CTRA,Coterra Energy Inc. Common Stock,$26.035,-0.565,-2.124%,20527747483.00,United States,,1614502,Energy,Oil & Gas Production
CTVA,Corteva Inc. Common Stock ,$64.825,-0.375,-0.575%,46316943900.00,,2019,695715,Industrials,Major Chemicals
CVX,Chevron Corporation Common Stock,$177.42,-5.57,-3.044%,343066150831.00,United States,,1486575,Energy,Integrated oil Companies
DASH,DoorDash Inc. Class A Common Stock,$55.37,-2.92,-5.009%,21495594946.00,,2020,570120,Industrials,Industrial Machinery/Components
DB,Deutsche Bank AG Common Stock,$10.5001,0.0001,0.001%,21390803720.00,Germany,,335042,Finance,Commercial Banks
DE,Deere & Company Common Stock,$409.30,-4.96,-1.197%,123534774559.00,United States,,199963,Industrials,Industrial Machinery/Components
DELL,Dell Technologies Inc. Class C Common Stock ,$41.02,-1.02,-2.426%,30066018503.00,,2018,523557,Technology,Computer Manufacturing
DFS,Discover Financial Services Common Stock,$107.90,0.64,0.597%,29481060044.00,United States,,109221,Finance,Finance: Consumer Services
DGX,Quest Diagnostics Incorporated Common Stock,$148.54,2.12,1.448%,16916844200.00,United States,,85405,Health Care,Medical Specialities
DHR,Danaher Corporation Common Stock,$260.76,0.11,0.042%,189823554174.00,United States,,169063,Health Care,Medical Specialities
DINO,HF Sinclair Corporation Common Stock,$63.1305,-0.5895,-0.925%,12672219103.00,United States,1960,227122,Energy,Integrated oil Companies
DOV,Dover Corporation Common Stock,$139.76,0.29,0.208%,19615868052.00,United States,,47048,Industrials,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,$49.20,-0.87,-1.738%,34624956035.00,,2019,646727,Industrials,Major Chemicals
DT,Dynatrace Inc. Common Stock,$36.535,-0.055,-0.15%,10516709099.00,United States,2019,246275,Technology,EDP Services
DVN,Devon Energy Corporation Common Stock,$66.1372,-3.4828,-5.003%,43233887640.00,United States,1985,2612665,Energy,Oil & Gas Production
E,ENI S.p.A. Common Stock,$27.72,-1.45,-4.971%,48832187093.00,Italy,,83555,Energy,Oil & Gas Production
EC,Ecopetrol S.A. American Depositary Shares,$9.6599,-0.2301,-2.327%,19859157947.00,Colombia,,344687,Energy,Oil & Gas Production
EFX,Equifax Inc. Common Stock,$197.725,-2.455,-1.226%,24210126999.00,United States,,112363,Finance,Advertising
ELV,Elevance Health Inc. Common Stock,$498.84,3.52,0.711%,119136751005.00,United States,,137554,Health Care,Medical Specialities
EMR,Emerson Electric Company Common Stock,$93.89,0.19,0.203%,55526546000.00,United States,,355556,Industrials,Industrial Machinery/Components
ENB,Enbridge Inc Common Stock,$39.835,-0.515,-1.276%,80658676935.00,Canada,,405264,Energy,Oil & Gas Production
EOG,EOG Resources Inc. Common Stock,$134.85,-6.17,-4.375%,79209473536.00,United States,,692199,Energy,Oil & Gas Production
EPAM,EPAM Systems Inc. Common Stock,$334.945,-6.515,-1.908%,19263855238.00,United States,2012,15084,Technology,EDP Services
EQNR,Equinor ASA,$33.11,-0.79,-2.33%,103717979300.00,Norway,,1114039,Energy,Integrated oil Companies
EQT,EQT Corporation Common Stock,$40.00,-1.03,-2.51%,14681840200.00,United States,,824357,Energy,Oil & Gas Production
ETN,Eaton Corporation PLC Ordinary Shares,$165.7486,0.7386,0.448%,65918218220.00,Ireland,,80128,Industrials,Industrial Machinery/Components
EW,Edwards Lifesciences Corporation Common Stock,$73.91,-1.13,-1.506%,45695633481.00,United States,,1186691,Health Care,Industrial Specialties
FHN,First Horizon Corporation Common Stock,$24.505,0.045,0.184%,13154377168.00,United States,,603614,Finance,Major Banks
FICO,Fair Isaac Corproation Common Stock,$571.24,-4.96,-0.861%,14267072026.00,United States,,14326,Technology,Computer Software: Prepackaged Software
FLT,FleetCor Technologies Inc. Common Stock,$187.65,-0.80,-0.425%,13839630729.00,United States,2010,34863,Technology,EDP Services
FMC,FMC Corporation Common Stock,$126.57,-1.08,-0.846%,15943506874.00,United States,,33515,Industrials,Agricultural Chemicals
FNF,FNF Group of Fidelity National Financial Inc. Common Stock,$39.24,-0.46,-1.159%,10678461524.00,United States,2014,62289,Finance,Specialty Insurers
FRC,FIRST REPUBLIC BANK Common Stock,$122.89,0.94,0.771%,22479699088.00,United States,,77845,Finance,Commercial Banks
FTV,Fortive Corporation Common Stock ,$67.06,0.45,0.676%,23726381446.00,,2016,88477,Industrials,Industrial Machinery/Components
GD,General Dynamics Corporation Common Stock,$249.23,1.01,0.407%,68425837550.00,United States,,79764,Industrials,Aerospace
GDDY,GoDaddy Inc. Class A Common Stock,$74.02,-0.01,-0.014%,11477969924.00,United States,2015,35873,Technology,EDP Services
GGG,Graco Inc. Common Stock,$70.205,0.345,0.494%,11831579498.00,United States,,62337,Industrials,Fluid Controls
GL,Globe Life Inc. Common Stock,$115.76,2.04,1.794%,11260001709.00,United States,,49878,Finance,Life Insurance
GLW,Corning Incorporated Common Stock,$33.705,-0.185,-0.546%,28508072428.00,United States,,268701,Technology,Industrial Machinery/Components
GRMN,Garmin Ltd. Common Stock (Switzerland),$90.905,-0.125,-0.137%,17423209829.00,Switzerland,2000,33363,Industrials,Industrial Machinery/Components
GS,Goldman Sachs Group Inc. (The) Common Stock,$377.685,-1.515,-0.40%,127897204369.00,United States,1999,265840,Finance,Investment Bankers/Brokers/Service
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),$33.38,0.49,1.49%,67884708190.00,United Kingdom,2022,773363,Health Care,Biotechnology: Pharmaceutical Preparations
HAL,Halliburton Company Common Stock,$34.2961,-2.4139,-6.576%,31142463069.00,United States,,2040579,Energy,Oilfield Services/Equipment
HCA,HCA Healthcare Inc. Common Stock,$230.73,0.65,0.283%,65231224191.00,United States,2011,97333,Health Care,Hospital/Nursing Management
HDB,HDFC Bank Limited Common Stock,$67.375,-0.515,-0.759%,125196172111.00,India,2001,136236,Finance,Commercial Banks
HEI,Heico Corporation Common Stock,$163.4726,-0.2874,-0.176%,22328994289.00,United States,2000,12514,Industrials,Military/Government/Technical
HES,Hess Corporation Common Stock,$136.99,-7.00,-4.861%,42235176757.00,United States,,413108,Energy,Oil & Gas Production
HIG,Hartford Financial Services Group Inc. (The) Common Stock,$74.04,0.35,0.475%,23552044703.00,United States,,68815,Finance,Property-Casualty Insurers
HPE,Hewlett Packard Enterprise Company Common Stock,$15.545,-0.225,-1.427%,20001765428.00,United States,2015,1053956,Telecommunications,Telecommunications Equipment
HPQ,HP Inc. Common Stock,$29.01,-0.47,-1.594%,29182285429.00,United States,,857173,Technology,Computer Manufacturing
HSBC,HSBC Holdings plc. Common Stock,$28.715,0.165,0.578%,114677785694.00,United Kingdom,,380215,Finance,Savings Institutions
HUBB,Hubbell Inc Common Stock,$257.235,3.745,1.477%,13815018923.00,United States,2015,28057,Technology,Industrial Machinery/Components
HUBS,HubSpot Inc. Common Stock,$266.365,-6.235,-2.287%,12938996317.00,United States,2014,72211,Technology,Computer Software: Prepackaged Software
HUM,Humana Inc. Common Stock,$526.26,-3.64,-0.687%,66624683351.00,United States,,106631,Health Care,Medical Specialities
HWM,Howmet Aerospace Inc. Common Stock,$37.04,-0.06,-0.162%,15323893850.00,United States,,136288,Industrials,Military/Government/Technical
IBM,International Business Machines Corporation Common Stock,$147.8483,0.2083,0.141%,133673545755.00,United States,,394230,Technology,EDP Services
IBN,ICICI Bank Limited Common Stock,$22.675,-0.055,-0.242%,79046261571.00,India,,994091,Finance,Commercial Banks
ICE,Intercontinental Exchange Inc. Common Stock,$105.38,1.17,1.123%,58860170243.00,United States,2005,130884,Finance,Investment Bankers/Brokers/Service
ICL,ICL Group Ltd. Ordinary Shares,$7.95,-0.22,-2.693%,10248295106.00,Israel,2014,220856,Industrials,Agricultural Chemicals
IEX,IDEX Corporation Common Stock,$234.14,0.59,0.253%,17659098461.00,United States,1989,33234,Industrials,Fluid Controls
IFF,International Flavors & Fragrances Inc. Common Stock,$98.285,0.015,0.015%,25058965036.00,United States,,81709,Industrials,Major Chemicals
INFY,Infosys Limited American Depositary Shares,$19.29,-0.18,-0.924%,81171372938.00,India,,601864,Technology,EDP Services
ING,ING Group N.V. Common Stock,$11.645,-0.105,-0.894%,42979761243.00,Netherlands,1997,637089,Finance,Commercial Banks
IP,International Paper Company Common Stock,$35.84,0.07,0.196%,12747213123.00,United States,,316907,Industrials,Containers/Packaging
IQV,IQVIA Holdings Inc. Common Stock,$212.03,-1.75,-0.819%,39382457077.00,United States,2013,89212,Health Care,Managed Health Care
IR,Ingersoll Rand Inc. Common Stock,$53.61,-0.09,-0.168%,21708069082.00,United States,2017,65993,Industrials,Industrial Machinery/Components
IT,Gartner Inc. Common Stock,$338.68,0.99,0.293%,26763977018.00,United States,1993,20688,Finance,Diversified Commercial Services
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),$4.935,-0.005,-0.101%,48367276967.00,Brazil,,7908051,Finance,Major Banks
ITW,Illinois Tool Works Inc. Common Stock,$228.41,1.53,0.674%,70164440827.00,United States,,64583,Industrials,Industrial Machinery/Components
IX,Orix Corp Ads Common Stock,$76.575,0.605,0.796%,18045717413.00,Japan,,2722,Finance,Diversified Financial Services
J,Jacobs Solutions Inc. Common Stock,$124.15,-1.89,-1.50%,15842236606.00,,2022,101013,Industrials,Oilfield Services/Equipment
JNJ,Johnson & Johnson Common Stock,$175.25,-0.95,-0.539%,458188252127.00,United States,,756634,Health Care,Biotechnology: Pharmaceutical Preparations
JNPR,Juniper Networks Inc. Common Stock,$31.6316,0.0616,0.195%,10266210481.00,United States,1999,368662,Technology,Computer peripheral equipment
JPM,JP Morgan Chase & Co. Common Stock,$133.73,-0.11,-0.082%,392257489672.00,United States,,894395,Finance,Major Banks
KB,KB Financial Group Inc,$36.71,-0.01,-0.027%,14176627749.00,South Korea,,7479,Finance,Commercial Banks
KEY,KeyCorp Common Stock,$18.63,0.02,0.107%,17381223518.00,United States,,1503285,Finance,Major Banks
KEYS,Keysight Technologies Inc. Common Stock,$172.395,0.495,0.288%,30823583829.00,United States,2014,104014,Industrials,Industrial Machinery/Components
KKR,KKR & Co. Inc. Common Stock,$51.42,-0.42,-0.81%,44278371995.00,United States,,141111,Finance,Investment Managers
LDOS,Leidos Holdings Inc. Common Stock,$107.19,0.89,0.837%,14651753615.00,United States,,43907,Technology,EDP Services
LH,Laboratory Corporation of America Holdings Common Stock,$233.16,2.98,1.295%,20657976000.00,United States,,60770,Health Care,Medical Specialities
LHX,L3Harris Technologies Inc. Common Stock,$223.97,-0.03,-0.013%,42644513996.00,United States,,64912,Industrials,Industrial Machinery/Components
LIN,Linde plc Ordinary Share,$334.18,-0.73,-0.218%,165211752004.00,,2018,95257,Industrials,Major Chemicals
LLY,Eli Lilly and Company Common Stock,$359.545,-2.125,-0.588%,341631713056.00,United States,,287220,Health Care,Biotechnology: Pharmaceutical Preparations
LMT,Lockheed Martin Corporation Common Stock,$483.0463,6.2263,1.306%,126593858153.00,United States,,162166,Industrials,Aerospace
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),$81.01,-1.29,-1.567%,26378835317.00,Netherlands,,199430,Industrials,Major Chemicals
LYG,Lloyds Banking Group Plc American Depositary Shares,$2.13,-0.01,-0.467%,35821106019.00,United Kingdom,,1577415,Finance,Commercial Banks
MAS,Masco Corporation Common Stock,$49.80,-0.13,-0.26%,11231350325.00,United States,,60918,Industrials,Building Products
MCK,McKesson Corporation Common Stock,$370.475,0.745,0.201%,52530939503.00,United States,,111497,Health Care,Other Pharmaceuticals
MCO,Moody's Corporation Common Stock,$290.53,-1.80,-0.616%,53225096000.00,United States,,68355,Finance,Advertising
MDT,Medtronic plc. Ordinary Shares,$82.66,1.36,1.673%,109867810869.00,United States,,1019227,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MET,MetLife Inc. Common Stock,$75.58,0.08,0.106%,59300536974.00,United States,2000,191997,Finance,Life Insurance
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),$2.285,-0.015,-0.652%,28954593787.00,Japan,,38292,Finance,Major Banks
MKL,Markel Corporation Common Stock,$1265.00,5.71,0.453%,17014757265.00,United States,1986,1378,Finance,Property-Casualty Insurers
MLM,Martin Marietta Materials Inc. Common Stock,$356.99,0.67,0.188%,22165756851.00,United States,1994,87029,Industrials,Building Materials
MMC,Marsh & McLennan Companies Inc. Common Stock,$169.07,1.57,0.937%,83860327179.00,United States,,131519,Finance,Specialty Insurers
MMM,3M Company Common Stock,$126.55,-0.21,-0.166%,559596927146.00,United States,,202829,Industrials,Consumer Electronics/Appliances
MMP,Magellan Midstream Partners L.P. Limited Partnership,$51.02,-0.89,-1.715%,10455838649.00,United States,,53465,Energy,Oil & Gas Production
MO,Altria Group Inc.,$44.475,0.275,0.622%,79706877186.00,United States,,1320139,Health Care, Medicinal Chemicals and Botanical Products 
MOH,Molina Healthcare Inc Common Stock,$316.92,-0.83,-0.261%,18508128000.00,United States,2003,176371,Health Care,Medical Specialities
MOS,Mosaic Company (The) Common Stock,$48.085,-0.885,-1.807%,16372030520.00,United States,,658399,Industrials,Agricultural Chemicals
MPC,Marathon Petroleum Corporation Common Stock,$119.725,-1.455,-1.201%,56110418231.00,United States,,1132035,Energy,Integrated oil Companies
MPLX,MPLX LP Common Units Representing Limited Partner Interests,$32.61,-0.56,-1.688%,32715751262.00,United States,2012,90722,Energy,Oil & Gas Production
MRK,Merck & Company Inc. Common Stock (new),$104.825,0.595,0.571%,265772882975.00,United States,,1198287,Health Care,Biotechnology: Pharmaceutical Preparations
MRO,Marathon Oil Corporation Common Stock,$29.06,-1.74,-5.649%,18455071430.00,United States,,2534460,Energy,Oil & Gas Production
MS,Morgan Stanley Common Stock,$89.20,0.00,0.00%,150757760175.00,United States,,442607,Finance,Investment Bankers/Brokers/Service
MSCI,MSCI Inc Common Stock,$489.84,-0.47,-0.096%,39166708033.00,United States,,16250,Finance,Advertising
MSI,Motorola Solutions Inc. Common Stock,$263.9648,1.0248,0.39%,44135761623.00,United States,,46025,Technology,Radio And Television Broadcasting And Communications Equipment
MT,Arcelor Mittal NY Registry Shares NEW,$25.41,-0.48,-1.854%,20734560000.00,Luxembourg,,304079,Industrials,Steel/Iron Ore
MTB,M&T Bank Corporation Common Stock,$170.125,-0.485,-0.284%,29365844978.00,United States,,64327,Finance,Major Banks
MTD,Mettler-Toledo International Inc. Common Stock,$1394.05,-7.26,-0.518%,31079214175.00,Switzerland,1997,7298,Health Care,Medical Specialities
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,$5.0709,-0.0191,-0.375%,62012531567.00,Japan,,161565,Finance,Commercial Banks
NET,Cloudflare Inc. Class A Common Stock,$46.45,-0.56,-1.191%,15264629346.00,United States,2019,573826,Technology,EDP Services
NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share,$9.78,-0.69,-6.59%,16337818950.00,,2018,18589452,Finance,Finance Companies
NMR,Nomura Holdings Inc ADR American Depositary Shares,$3.5035,-0.0465,-1.31%,10516441621.00,Japan,,44257,Finance,Investment Bankers/Brokers/Service
NOC,Northrop Grumman Corporation Common Stock,$527.495,7.075,1.359%,81187892729.00,United States,,60346,Industrials,Industrial Machinery/Components
NOK,Nokia Corporation Sponsored American Depositary Shares,$4.735,-0.055,-1.148%,26508777695.00,Finland,1994,2616058,Technology,Radio And Television Broadcasting And Communications Equipment
NOW,ServiceNow Inc. Common Stock,$389.17,-10.21,-2.556%,78612340000.00,United States,2012,131152,Technology,Computer Software: Prepackaged Software
NSC,Norfolk Southern Corporation Common Stock,$245.56,-1.20,-0.486%,56850630144.00,United States,,290498,Industrials,Railroads
NTR,Nutrien Ltd. Common Shares,$75.86,-1.94,-2.494%,39461146937.00,,2018,269254,Industrials,Agricultural Chemicals
NU,Nu Holdings Ltd. Class A Ordinary Shares,$4.265,-0.055,-1.273%,19983930213.00,Cayman Islands,2021,1967833,Finance,Finance: Consumer Services
NUE,Nucor Corporation Common Stock,$142.32,0.29,0.204%,36511300807.00,United States,,176953,Industrials,Steel/Iron Ore
NVO,Novo Nordisk A/S Common Stock,$113.88,0.44,0.388%,256474408914.00,Denmark,,115650,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NVS,Novartis AG Common Stock,$86.27,0.57,0.665%,185566770000.00,Switzerland,,295710,Health Care,Biotechnology: Pharmaceutical Preparations
NWG,NatWest Group plc American Depositary Shares (each representing two (2) Ordinary Shares),$6.125,-0.065,-1.05%,29593129335.00,United Kingdom,2022,143321,Finance,Commercial Banks
ORAN,Orange,$10.135,-0.005,-0.049%,26939989728.00,France,,53123,Telecommunications,Telecommunications Equipment
ORCL,Oracle Corporation Common Stock,$79.27,-0.46,-0.577%,213725103790.00,United States,1986,588863,Technology,Computer Software: Prepackaged Software
OTIS,Otis Worldwide Corporation Common Stock ,$77.955,0.195,0.251%,32474967633.00,,2020,306461,Technology,Consumer Electronics/Appliances
OVV,Ovintiv Inc. (DE),$51.82,-2.64,-4.848%,12864939276.00,Canada,,1215696,Energy,Oil & Gas Production
OXY,Occidental Petroleum Corporation Common Stock,$68.1391,-3.1109,-4.366%,61932592090.00,United States,,4665126,Energy,Oil & Gas Production
PAYC,Paycom Software Inc. Common Stock,$313.22,-3.17,-1.002%,18799579978.00,,2014,46096,Technology,Computer Software: Prepackaged Software
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),$34.46,-0.72,-2.047%,19006895440.00,Canada,,89073,Energy,Oil & Gas Production
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$11.235,-0.115,-1.013%,73275800578.00,Brazil,,9622135,Energy,Oil & Gas Production
PFE,Pfizer Inc. Common Stock,$47.85,-0.38,-0.788%,268597100595.00,United States,,1710406,Health Care,Biotechnology: Pharmaceutical Preparations
PGR,Progressive Corporation (The) Common Stock,$128.62,0.26,0.203%,75242700000.00,United States,,126848,Finance,Property-Casualty Insurers
PH,Parker-Hannifin Corporation Common Stock,$305.93,0.30,0.098%,39283165285.00,United States,,34348,Industrials,Office Equipment/Supplies/Services
